epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8066,1.63579,3.2853,3.26484,0.10674,0.90867,0.66357,0.79784,0.37203,1.24271,2.29854,3.18134,0.10958,0.00010002,0.00010002,0.00010002
2,52.7136,1.14876,2.1423,2.71497,0.08244,1,0.99447,0.995,0.67951,0.91136,1.60449,3.11012,0.15832,0.000212419,0.000212419,0.000212419
3,68.1717,1.11345,1.92306,2.49022,0.08644,0.81813,0.93333,0.89489,0.59648,0.84132,1.41453,2.77911,0.08688,0.000320197,0.000320197,0.000320197
4,83.3886,1.1501,1.669,2.35926,0.10753,0.98241,1,0.995,0.82144,0.7684,1.21504,2.33147,0.06512,0.000423355,0.000423355,0.000423355
5,98.8094,1.05897,1.3085,2.03466,0.12707,1,0.98852,0.995,0.82225,0.74371,1.27957,2.2286,0.08235,0.000521891,0.000521891,0.000521891
6,113.455,1.09253,1.42594,2.12837,0.07998,0.99126,1,0.995,0.78385,0.77471,1.29305,2.16616,0.06001,0.000615806,0.000615806,0.000615806
7,127.651,1.22445,1.45299,2.04731,0.21246,0.9946,1,0.995,0.80369,0.74577,1.15189,2.05621,0.08614,0.000705101,0.000705101,0.000705101
8,142.208,1.06217,1.15428,2.0524,0.10142,0.98976,1,0.995,0.81155,0.7563,1.18549,2.08509,0.07815,0.000789775,0.000789775,0.000789775
9,156.112,0.96004,1.08669,1.88225,0.07509,0.99276,1,0.995,0.7415,0.83185,1.25484,2.10792,0.0708,0.000869827,0.000869827,0.000869827
10,170.404,0.9957,1.04909,1.90911,0.0556,0.98834,1,0.995,0.78907,0.78254,1.03515,1.99865,0.04832,0.000945259,0.000945259,0.000945259
11,184.538,0.99847,1.03891,1.90212,0.06819,0.9934,1,0.995,0.83863,0.7164,0.95493,1.80676,0.0457,0.00101607,0.00101607,0.00101607
12,198.41,1.18077,1.18059,1.91791,0.08777,0.99373,1,0.995,0.82586,0.72007,0.92058,1.81669,0.04947,0.00108226,0.00108226,0.00108226
13,212.353,0.94458,1.08309,1.7609,0.06181,0.99461,1,0.995,0.79522,0.74582,0.95232,1.78403,0.09724,0.00114383,0.00114383,0.00114383
14,226.054,0.97463,1.01813,1.896,0.06119,0.99461,1,0.995,0.79522,0.74582,0.95232,1.78403,0.09724,0.00120078,0.00120078,0.00120078
15,240.304,0.92375,1.00017,1.68662,0.07324,0.99274,1,0.995,0.83753,0.72295,0.92765,1.76862,0.11034,0.00120491,0.00120491,0.00120491
16,254.058,0.97621,0.89027,1.69853,0.10398,0.99149,1,0.995,0.83687,0.67985,0.88742,1.74353,0.08184,0.0011719,0.0011719,0.0011719
